JobName,WorkPlace,WorkKind,JobID,JobDescribe,JobRequire
[品牌市场策划专家-生活服务],上海,市场,A103644A,"1、负责抖音生活服务平台品牌项目的策划统筹，制定品牌营销与传播方案，协同内外多团队落地；
2、具有用户与业务视角，能围绕品牌核心心智、结合生活服务不同场景与业务需求，挖掘用户洞察，策划和落地影响用户心智的线上线下品牌大事件，整合多方资源，扩大抖音生活服务在用户侧影响力；
3、以多种市场手段，协同产品、运营、战略追踪完成相关业务品效果增长指标。","1、本科及以上学历，了解多样市场打法，有相关生活服务类品牌营销经验者优先；
2、用户洞察、热点趋势敏感度高，可挖掘增长场景和市场营销机会点，撰写逻辑清晰、洞察深入的整合营销方案，拆解目标并转化成关键营销手段；
3、有品牌、创意、传播优秀项目案例经验，可完成大型营销项目策划宣发，打造项目亮点，沉淀可复制模式；
4、目标导向，自驱力强，有韧性，具备独立思考和解决复杂问题能力，协调各方资源将项目价值最大化。"
[结算专员],北京,运营,A125215,"1、编写和持续迭代结算工作标准流程和制度，协同各相关方，基于业务流程和商务SLA，完成月度供应商结算，对结算准确性负责；
2、理解客服业务特性，负责对结算工作中的风险和业务问题，能及时暴露和反馈跟进，促进结算良性循环；
3、进行结算数据各维度分析，包括但不限于成本、人效等分析，对资金流出进行分析并提出建议；
4、负责使用结算产品，对需要手工结算事项进行二次复核和验证，促进系统化程度提升，对结算产品功能优化负责。","1、本科及以上学历，数学/统计学/会计等相关专业优先；
2、2年以上结算工作经验，对于结算规则和策略有深入的了解，熟悉客服行业从计费、结算、账单/对账等流程加分；
3、能独立完成计算提报，成本分析及结算的合规流程建设；
4、对数据有独立的处理能力，熟悉SQL和常用BI工具，具备优秀数据处理能力；
5、沟通能力好，细心严谨，能抗压、有多任务处理能力和自驱力，愿意深入了解业务。"
[汽摩行业品牌营销-抖音电商],上海,运营,A221460A,"1、负责电商汽摩行业营销活动，与站内外其他行业或MCN机构、品牌方等外部机构联动，通过创新营销活动等多重方式合作，撬动行业实现业务目标增长&行业影响力提升；
2、联动内外部门、模块，整合各方的需求和资源，策划营销活动，对活动声量、行业撬动、订单量提升、交易额提升等关键指标负责，优化活动执行效率；
3、串联平台内部各横向营销项目，及时做好数据统计、分析及信息同步，并发动商家深度参与行业及平台各类营销活动，拉动业绩增长；
4、结合业务需求和B端市场的市场策略策划并落地行业营销活动，助力行业营销目标的增长与达成。","1、5年以上营销活动相关工作经验，对品牌方、MCN结构等合作活动具有一定的经验；
2、具有一定的活动策划能力，对市场活动有一定的敏锐度，整合多方需求进行整合策划，并实现目标；
3、有较强的资源对接、沟通能力，且能深度了解内外部各营销资源的优劣势；
4、出色的跨部门沟通协作能力，成熟项目把控能力，持续学习创新的自驱能力；细心尽责，积极进取，对结果负责；
5、具备互联网市场活动相关经验者优先，了解电商行业业务者优先，汽摩行业经验者优先。"
[抖音搜索评测],天津,运营,A215886A,"1、根据抖音搜索产品发展的目标，通过DCG评估等方法，不断优化抖音搜索策略，提高抖音搜索的流量和内容质量；
2、根据产品的需求，完成策略上线前的测试及数据评估等内容，从用户角度出发提升用户体验，更大程度上满足用户需求；
3、反馈现有运营策略问题，不断提升用户搜索体验。","1、本科及以上学历，新闻、传媒、数据分析专业优先，日常关注新闻、热点、娱乐等各个方面内容；
2、有扎实的内容运营知识、技能与方法论沉淀，可以根据平台搜索引擎规则进行内容优化，有运营经验、项目管理更佳；
3、对用户需求有敏锐的洞察力，对于当下搜索大环境有所了解，并且可以根据不同产品的需求提出自己的想法；
4、了解并且经常使用各大搜索引擎，以及抖音等相关视频搜索产品，且在某些策略优化上有自己独特的思维；
5、具备较强的自驱动力，执行力；一定的抗压能力，逻辑思维能力，开放的沟通合作意识，能清晰地沟通和表达想法。"
[高级热点运营专家-生活服务],上海,运营,A187417,"1、基于实时热点和高热线索，挖掘内容趋势和流量机会，制定热点策略和方案；
2、协同超头和区域达人运营，打造抖音生活服务属性热点，通过线上活动撬动流量增长；
3、建设长效化热点/内容运营指标体系和监控体系，并完成数据监测、汇总、整理、分析，并提供反馈报告和优化建议，持续提升热点运营效率。","1、3 年上以上热点策略/运营经验，熟悉抖音平台及内容生态，对相关领域有认知/视野、高敏感/热情，并对用户需求有比较清晰的认知和把握，有体系化建设热点规则、机制经验优先；
2、良好的逻辑思维、数据分析、内容研究、用户洞察和业务诊断能力，有意愿作为中台，优化内容和达人生态，有能力站在一线，陪同达人和业务成长；
3、优秀的沟通协作能力和资源整合能力，目标导向，自我驱动，敢于接受全新挑战。"
[离线架构工程师],北京,研发,A70921,"1、负责懂车帝推荐架构的持续改进，设计和实现合理的离线架构；
2、负责懂车帝策略相关的离线数据流、离线召回、数据分析、资源调优等任务设计和开发；
3、构建完善的 debug 能力体系，提升问题分析与追查的效率；
4、学界及业界的新技术预研与落地。","1、熟悉 Flink、Spark Streaming、Storm 等主流大数据计算系统原理；
2、具有敏锐的数据分析和洞察能力，熟悉常见的大数据开发工具(Spark/Hive/Hadoop等)；
3、精通 Java / Scala / python/ sql 等开发语言；
4、有优秀的设计和编码思维，对解决具有挑战性问题充满激情。"
[国际电商-PA公共事务专家],嘉兴,运营,A133881,"1、通过对公司业务与政策环境、社会环境的分析，从资质合规、生产合规等方面为公司规避危机，同时在面临突发事件或危机或政府监管时，可以迅速做出反应，制定有效的应对策略，维护企业的声誉、形象以及降低公司损失；
2、对于指定区域内的重点城市，重点园区，重点合作伙伴有清晰的布局和项目落地方法；
3、对内协调整合集团内部业务在地方落地的相关事宜，对外根据公司业务发展需求，加强与相关部门的沟通及协作，完成项目推动、签约落地及商务过程；
4、统筹处理业务布局所在的重点省份的公共事务，建立和维护与相关部门的沟通渠道和良好的互动、合作关系，营造良好的商业运营环境；
5、代表公司参与公共事务相关的各类活动，提升公司的认知度及品牌形象；
6、制定相关部门的工作计划，关注相关政策的现状及变化，为公司业务开展、运营及拓展等提供资源支持。","1、有优秀的人际交往、沟通协调能力，有较强的语言和文字表达能力；
2、具有一定资源整合能力和业务推进能力；
3、具有良好的团队合作精神及独立处理事务的能力；
4、具备物流行业PA经验优先考虑。"
[机构运营经理-生活服务],广州,运营,A240701,"1、深度拓展和运营广佛生服达人机构，调优其商业经营模式，并提升机构的商家拓展、达人招募、撮合匹配能力，并沉淀运营方法论；
2、负责生活服务MCN机构增长项目的分析与运营工作；基于商家与达人的供需匹配情况，明确分区域/分行业/分类型的机构达人增长思路，牵引机构定向孵化达人，提升供需匹配效率；
3、深入理解MCN机构业务逻辑，建立常态化的数据监控机制，洞察业务增长机会点，不断提出新手段并落地迭代。","1、本科及以上学历，具备3年以上内容运营相关工作经验，有生活服务创作者或MCN资源和工作经验优先；
2、熟悉用户生命周期方法论，用户画像、分层方法论，对社区/内容产品有较好的兴趣和理解；
3、有独立的思考和策略能力、超强的执行能力，具备数据分析能力，数据驱动结果导向；
4、优秀的语言沟通能力、谈判能力、应变能力、组织协调能力；
5、良好的职业习惯、高度的敬业精神和工作责任心，自我管理意识强。"
[软硬件解决方案负责人],北京,研发 - 后端,A25739,"1、提供字节跳动数据中心软硬件项目的软硬件解决方案，基于解决方案考虑整体项目方案和设计；
2、与字节跳动硬件研发团队、业务团队高度协同，进行软硬一体化解决方案设计和开发。能从解决方案角度发现问题，提出问题，解决问题；
3、面向字节跳动业务场景，结合业界解决方案，提出针对性优化和迭代方案，为项目提供长期和短期的目标和需求方案。","1、本科及以上学历，5年以上相关工作经验；
2、从上层软件到底层芯片整个技术栈有深入的理解，并有架构能力。包括但不限于对 io/网络、CPU、业务加速场景、AI等领域有深入的理解；
3、需要有带团队经验，能够清晰的规划和拆解团队的目标和任务，同时具备hands on能力；
4、符合以下要求其中一条或以上：?
  a、熟悉互联网软硬件业务，理解业务诉求；参与过相关解决方案并落地；
  b、熟悉 NIC / RDMA 等内核网络协议栈和驱动设计实现, 熟悉计算机网络, 了解集合通信库(ex: NCCL)和相关算法(ex: Allreduce)的设计实现与性能分析优化；
  c、熟悉GPU计算加速卡卡间互联技术，包括互联应用场景，互联接口和互联组网；熟悉业界典型的互联方案，熟悉通信库及源码；
 d、对CXL等内存一致性协议及应用场景有一定了解，有相关异构内存架构设计经验者；
 e、熟悉ARM/RISC-V SOC体系架构。"
[Android资深研发工程师-二手车],重庆,研发 - 客户端,A134500A,"1、负责公司移动产品的研发，编写高质量的代码；
2、和产品经理配合，深度参与手机产品需求讨论，功能定义等；
3、设计良好的代码结构，不断迭代重构；
4、指导并带领初级工程师共同完成研发任务。","1、五年以上Android客户端实际开发经验，有客户端App架构经验；
2、有足够的软件安全意识，掌握数据加密、代码混淆、防破解等技术；
3、熟悉 Android系统架构，对框架有一定了解；
4、对技术有热情和好奇心，愿意主动投入精力了解新技术的结合应用，以及推动技术论题的落地；
5、具备优秀的沟通和表达能力，对基础技术兴趣浓厚；
6、有业务意识，突出对业务的理解，并基于想法助力业务发展。"
[抖音优质内容研判],南宁,运营 - 审核,A96334A,"1、负责抖音视频内容质量评估，根据抖音生态规则，从质量、画风等多维度进行研判和内容治理，确保内容符合平台画风和调性，优化平台生态画风，维护创作者体验；
2、通过积累和总结日常研判案例，发现更多标准未覆盖场景，推动生态内容标准的优化和迭代；
3、负责开展生态内容专项复盘总结，以及提出更多生态治理策略等。","1、本科及以上学历，专业不限；
2、有媒体或互联网运营&评估经验，对娱乐、时尚、美食等垂类内容有一定兴趣积累，对UGC内容生态有一定了解；
3、能适应排班制、倒班制度工作节奏；
4、能适快速节奏工作，工作细致耐心，责任心强，具有团队合作精神。"
[生活服务-游玩-BDM（广深）],广州,市场 - 商务拓展BD,A171828A,"1、根据业务规划和目标，拆解BD团队任务，制定商户开发运营策略及计划；
2、定期收集分析行业、商圈情况，为业务决策提供信息和数据支持；
3、研究平台账号、市场流行趋势，探索并输出营销策略和内容玩法，打通流程；
4、整合、协调内外部资源，对内协调与视觉等跨部门协作，对外整合行业、地域与公司资源，推动整体营销解决方案输出；
5、陪访客户，建立并维护客户关系，打通客户职业圈；
6、通过组织演练、早启动晚复盘、陪访监督和账户数据分析等，管控过程指标，确保销售目标达成；
7、组建高质量的BD团队，对团队梯队搭建、人才培养、人员管理负责。","1、专科及以上学历；
2、2-3年相关业务团队管理经验，具备O2O/BD/本地生活商户运营管理经验的优先，具备新开城经验者优先；
3、具备酒店、景区开拓经验或客户资源积累的优先，如有商超、餐饮资源等；
4、具备新媒体/自媒体运营管理经验，或有短视频内容营销管理经验者优先；
5、具备优秀的目标管理能力、团队管理能力；
6、工作富有激情，人际沟通能力强，思维敏捷，能拿结果，擅长打造有执行力的团队。"
[服务商策略运营经理-生活服务],南宁,运营,A06523,"1、负责房产CPS服务商的日常管理，包括但不限于准入、考核、清退、风控等，保障服务商日常运营，推动达人整合/达人运营/GTV/回款等业绩目标的达成；
2、分析服务商团队架构、经营人效等，明确服务商能力现状，为服务商制定成长方案，核心聚焦服务商达人整合/达人运营等对应业务链路的能力，提供日常运营支持，维护良好合作关系，提升服务商的整体业务作战能力；
3、充分了解市场现状，利用平台优势整合当地市场达人/机构资源，深入挖掘服务商和达人的作业模式，根据已有经验沉淀和数据分析，输出线上/线下经营方法论，推动服务商整体业务能力提升；
4、立足行业达人生态，推动服务商将平台提供的权益落地为对达人全生命周期的支持；协助生态/内容运营团队，推动行业达人提升内容质量，合规经营；推动达人通过CPS业务模式获取稳定收益，长效经营；
5、推动房产产品在服务商/达人侧的使用渗透，辅助优化产品建设，通过产品提效业务链路，提高业务市占规模。","1、本科及以上学历，有互联网交易业务或房地产行业经验，有房地产公司数营管理经验或房地产渠道公司经验者优先；
2、高自驱力，目标导向，具备系统性思考、问题洞悉及解决能力；
3、具备行业分析能力及总结能力，逻辑清晰，数据分析能力强；
4、项目运营能力强、统筹沟通能力强、有团队合作精神；
5、具备较强的责任心、进取心，人品正直，具有开拓精神，接受全国出差。"
[系统策划（SLG）-有爱事业部],北京,游戏策划,A239870,"1、熟悉SLG游戏体系，深入理解玩家需求和痛点，根据游戏整体设计思路，设计游戏中的重要玩法和系统功能，注重细节设计；
2、撰写策划案及需求文档，协调开发各部门之间的合作，跟进需求从想法到实现落地的全过程；
3、有数据分析能力和持续迭代和优化的意识，能根据数据和用户反馈跟进设计的迭代，确保设计内容持续优化；
4、持续关注SLG游戏市场，有创新精神，能根据游戏风格、用户群喜好，提出创新性设计和改进建议；
5、参与版本品质把控，包括可玩性、视觉表现、交互设计以及整体游戏流畅度设计等。","1、大专及以上学历，5年以上游戏策划相关经验，有完整的从研发到运营的项目经验；
2、熟悉游戏开发流程，能够完整构建核心系统并得到线上验证，有上线手游产品研发经验者优先；
3、熟悉SLG游戏产品，并对游戏设计抱有极高的兴趣和热情；有过同类型产品从开发到上线的经验者优先；
4、具备良好的逻辑思维和分析能力，能够设计复杂的游戏系统；
5、有一定的数值设计经验，了解游戏经济和平衡性的原则；
6、善于沟通和团队协作，开放谦逊，能够与不同专业背景的人合作；
7、具有较强的游戏分析能力，深刻理解游戏的核心原理和玩家心态。"
[风险应急运营专家-生活服务],上海,运营,A116761,"1、负责抖音生活服务业务风险应急的全局运营工作：通过部署风险感知策略、制定风险研判定级标准、落地止损处置方案等多环节工作设计及落地，确保应急工作灵敏有效；
2、协同上游业务及PA、法务等团队，开展高危重大层级风险事件处置及复盘分析风险发生根因，提出整改方案并跟进落地解决，完成重大风险的复盘演练，确保重大风险在应急环节得到有效止损；
3、设计合理的指标监测体系及时掌握风险及业务的变化，建立高效协作机制不断推动规则和治理方案的迭代，保障风险可控；通过体系化运营，提升业务整体应急管理能力；
4、与产品、数据、研发团队深度合作，设计和构建应急产品、沉淀应急能力。","1、本科及以上学历，具有3-5年互联网应急响应运营相关工作经验；
2、掌握风险感知、标准及流程、研判及管控策略运营的能力，并有良好的业务感知和理解能力；
3、工作责任心强、目标导向，善于不同背景跨团队沟通协调，抗压能力较强。"
[交易平台产品运营],北京,运营,A169699,"1、负责梳理、规划和落地集团商业化资金基础服务能力建设，包括分析梳理内部多业务线交易全链路，洞察市场需求，结合合规要求，规划出专业资金效率提升和解决方案，支撑集团商业化快速变现；
2、对业务增长效率和商业化变现效率负责：能够了解业务发展诉求和集团交易效率要求，提出合理、标准化的长期解决方案，撰写MRD，并协同各方推动方案成功落地，赋能业务增长；
3、对集团内外部用户的资金使用效率/体验负责，能以用户完整生命周期为导向，深入了解内外部用户对系统体验的诉求和问题，能提升用户效率和使用体验；
4、分析日常数据：针对日常数据和已上线的系统功能，通过数据对产品进行监控、分析和效果评估，及时定位异常波动，并了解和跟进用户使用过程中的问题及反馈，提出优化迭代建议，以数据推进产品持续迭代平台功能、优化内外部用户使用体验。","1、有互联网公司签约、风控等中台/交易系统运营经验优先；或具备一定财务知识经验背景，对财务核算及收入、发票、资金认款、结算方向有了解；
2、有一定的数据处理能力，能独立完成一些简单的数据处理和分析，并有及时发现问题，及时同步和解决的意识；
3、有清晰的逻辑思维和经验，善于将复杂的业务问题和多业务模式抽象成能够系统化解决的方案；
4、自驱力强，学习能力强，对新业务模式和新资金模式保持持续学习状态，能快速跟随集团业务增长速度；
5、项目管理能力强，有项目主导意识，有过负责跨部门项目的经验，能良好的完成沟通、促成协作，实现项目成功落地；
6、有业务感知，具备较强的客户视角和同理心，能够满足业务及客户的需求下，结合当前系统现状构建通用运营解决方案；
7、资金系统日常需要进行风险漏洞治理，需要有较高的职业素养和诚实度。"
[资深前端研发工程师-游戏技术],深圳,研发 - 前端,A96120,"1、负责字节跳动游戏赛道，用户增长营销方向业务的前端系统设计与研发，如：游戏增值、营销商业化、用户增长、裂变拉新、流失干预、社区直播、归因分析等大型系统，以帮助业务提升拉新活跃付费等关键数据为目标；
2、熟悉营销和商业化系统上下游技术、对账号、支付、广告等系统熟悉并能熟练串联相关能力应用至营销场景；
3、参与团队前端技术体系建设，逐步提升研发效率、研发质量，借助技术驱动业务开发和发展；
4、与产品经理、设计师、后端工程师一起，提升产品的用户体验，打造业界有影响的产品；
5、关注前端前沿技术发展，能够将新知识传递给团队，并且转化到潜在项目中。","1、扎实的计算机基础知识，熟悉常用的数据结构、算法和设计模式，并能在日常研发中灵活使用；
2、深入理解Web前端开发技术，包括HTML/CSS/JavaScript等；
3、掌握至少一种主流前端框架，包括React/Vue/Angular等，有实际上线项目的研发经验；
4、能够独立完成一个复杂模块或项目的研发工作；
5、具备较强的团队合作精神和责任感，有较强的上下游沟通协调能力。"
[渠道城市经理-飞书（南京）],南京,销售 - 销售,A206419,"团队介绍：飞书商业化团队（Go to Market）负责将飞书先进产品和服务全面推向中国和国际市场，通过制定精准的业务战略，进行破圈的市场营销，深入理解不同行业的趋势和特点，传递飞书的理念和价值给不同行业的企业客户并达成业务合作，帮助客户加强使用深度和广度，最终让飞书成为各行各业先进企业的首选、持续助力企业组织升级。 飞书于2019年正式启动商业化，目前已在中国、新加坡、美国、日本等国家和地区建立了商业化团队，开启了为全球各行各业组织和个人提升创造力和效率的历程。

1、根据目标制定销售计划，规划客户销售策略，并根据市场变化适时调整，与伙伴建立专业有效的合作机制，驱动伙伴完成所分配的业务指标；
2、负责区域渠道伙伴的招募、支持及管理，与培训、产品、市场等部门协作，参与制定和执行销售策略和激励措施，促进伙伴良性发展；
3、开拓及跟进重点客户，了解客户需求，联合渠道对潜在行业客户进行跟踪、拜访，促成签单，迭代解决方案。","1、本科及以上学历，熟悉SaaS/软件/解决方案/云计算/大数据/营销技术等产品，有HRD相关业务经验优先；
2、具备建立高层客户关系的经验，优秀的内外沟通协调和谈判能力；
3、熟悉国内IT软件分销商及服务商模式，具备良好的市场开拓与合作商管理能力；
4、拥有较强逻辑思维能力，能独立产出行业分析和策略洞察。"
[游玩行业解决方案产品经理-生活服务],上海,产品 - 产品经理,A234048,"1、对酒旅行业生态开展深度分析，梳理商业模式、产业链条，敏锐洞察行业机会点与风险点，并通过定量、定性等多种手段，对业务方向开展研究，产出对业务有价值的洞察判断，协助业务制定关键决策；
2、对酒旅行业商家的经营业态、供需关系等商业模式有一定的理解，找到关键驱动要素，基于分层/品类等视角不断完善线上经营场景及价值，实现行业线上化率的增长；
3、通过调研分析经营痛点、挖掘业绩增长机会点，基于经营场景输出解决方案，结合行业认知和数据分析，挖掘客户需求，进行产品迭代创新；
4、高效协同业务、运营、用户等合作团队，积极推动跨部门合作及项目落地，为效果收益、规模渗透及使用体验等指标负责。","1、本科及以上学历，具有5年及以上产品经理经验，有酒旅相关行业B&C端产品经验优先；
2、善于洞察和总结，具备较好业务数据分析能力，能够根据数据表现和反馈及时调整产品策略；
3、具备较好的目标拆解落地能力，能清晰定义问题、寻求多种解决方案，能够保持高效的执行力及工作节奏；
4、表达有逻辑，做事有条理，有较强的沟通和跨团队协作及项目管理能力，有效推动问题的解决。"
[母婴用品采销专家-抖音电商（超市）],上海,运营,A256560,"1、负责婴童用品类目的超市采销工作，完成经营各项目标；
2、拓展品牌和经销商的招商合作，丰富超市品类品牌商品供给，包括招商、洽谈、入驻、成本核算、选品、报入营销各项活动等；
3、维护日常货架和场域的运营，包括活动报入、达播跟播、成本核算，以及商家履约侧的指标跟进和维护等；
4、协同横向营销同学跟进行业自播矩阵的打造、达播场次的突破以及各类货架营销IP活动的报入和跟进；
5、协同供应链同学监管日常经销存数据和周转率以及送货上门率等工作。","1、本科及以上学历，具备母婴用品行业采销或者运营工作经验者优先；
2、具备良好的数据分析能力，有采销经验者优先；
3、了解过抖音电商运营方法，有内容平台行业运营经验者优先。"
[大客户销售-餐饮（天津）],天津,销售 - 销售,A147315,"1、商务谈判：负责餐饮行业品牌商家在本地生活服务各项商务事宜，包括商务谈判，资源投入发掘、资源分配等，提升抖音生活服务份额占比；
2、商家运营：与商家保持深度合作关系，优化商家的商品情况，提升门店经营效果和指标，达成既定的销售指标，包括但不限于销售额；
3、营销方案制定：负责全国餐饮连锁品牌的市场规划、策略制定及实施，挖掘增长机会点和重大项目拓展，联合商户打造营销事件；
4、整合营销：整合内外部资源，包括大促、数据协同、品牌门店赋能等增值服务方案等。","1、本科及以上学历，3-5年互联网大客户销售工作经验，有交易平台企业经验者优先；
2、对餐饮行业有热情，对行业现状以及增长机会点有一定的理解和认知；
3、具备顾问式的营销能力，能够针对客户的需求提供落地可行的解决方案；
4、具备良好的逻辑能力、总结能力，有较强的沟通谈判以及口笔表达交流的技巧；
5、能适应工作压力，敢于面对挑战，自我驱动性高，目标感强。"
[服务商策略运营经理-生活服务],北京,运营,A164694B,"1、负责房产CPS服务商的日常管理，包括但不限于准入、考核、清退、风控等，保障服务商日常运营，推动达人整合/达人运营/GTV/回款等业绩目标的达成；
2、分析服务商团队架构、经营人效等，明确服务商能力现状，为服务商制定成长方案，核心聚焦服务商达人整合/达人运营等对应业务链路的能力，提供日常运营支持，维护良好合作关系，提升服务商的整体业务作战能力；
3、充分了解市场现状，利用平台优势整合当地市场达人/机构资源，深入挖掘服务商和达人的作业模式，根据已有经验沉淀和数据分析，输出线上/线下经营方法论，推动服务商整体业务能力提升；
4、立足行业达人生态，推动服务商将平台提供的权益落地为对达人全生命周期的支持；协助生态/内容运营团队，推动行业达人提升内容质量，合规经营；推动达人通过CPS业务模式获取稳定收益，长效经营；
5、推动房产产品在服务商/达人侧的使用渗透，辅助优化产品建设，通过产品提效业务链路，提高业务市占规模。","1、本科及以上学历，有互联网交易业务或房地产行业经验，有房地产公司数营管理经验或房地产渠道公司经验者优先；
2、高自驱力，目标导向，具备系统性思考、问题洞悉及解决能力；
3、具备行业分析能力及总结能力，逻辑清晰，数据分析能力强；
4、项目运营能力强、统筹沟通能力强、有团队合作精神；
5、具备较强的责任心、进取心，人品正直，具有开拓精神，接受全国出差。"
[AI增长策略运营-剪映CapCut],深圳,运营,A165525A,"1、负责AI产品官网整体优化，制定多样化的增长策略并推动各协作方落地，为流量结果负责；
2、负责AI产品PGC/UGC SEO策略的制定，并能根据数据分析与用户需求，及时优化调整策略；
3、和各个协作团队保持密切联系，了解业务发展阶段，对已有内容做结构化挖掘和利用，驱动将其运用于站外推广和业务优化上；
4、分析市场环境，洞察Web端拉新促活的高效场景，持续探寻新的Web端增长手段及用户获取渠道。","1、本科及以上学历优先，3年及以上相关工作经验，了解用户增长各渠道和方式，有成功的SEO运营、AI产品运营等经验优先；
2、良好的逻辑思维能力和自我驱动力，责任心强，沟通能力优秀；
3、对用户增长有热情，能结合数据驱动业务发展，有很好的好奇心和探索精神；
4、视频编辑、自拍、P图深度用户，对AI类产品熟悉者优先。"
[内容运营经理（AI内容生成方向）-剪映CapCut],北京,运营,A245333,"1、结合产品能力、站内外AIGC内容需求，规划牵引用户的促投稿/热爆的内容策略；
2、落地促投稿活动激发用户创作活跃，以数据和内容洞察为出发点，为不同用户/目标的活动制定活动策略和方案，有产品化提高用户渗透和运营效率的能力；
3、制定活动上线标准和评审-复盘SOP，对接不同需求方，把控平台活动质量；
4、全链条跟进内容策略落地，对投稿/转化等数据指标直接负责，复盘优化策略和手段，不断迭代策略有效性。","1、本科及以上学历，3年以上内容运营经验，有AIGC行业经验优先；
2、有出色的内容敏感性和判断力，有完整的促投稿活动/热点运营经验；
3、熟悉UGC运营的手段和传播链路，理解社区产品，了解国内外内容创作趋势，热爱图片/视频创作；
4、有项目统筹经验，能够拆解复杂问题，逻辑清晰，沟通高效，具有全局意识，能更高视角看问题；
5、学习、沟通能力强，有自驱力，善于总结沉淀可复用方法论，有抗压能力。"
[财务BP-CDN方向],北京,职能 / 支持 - 财务,A125702,"1、负责内部自用及ToB内容分发网络端到端相关资源投入和运营的财务支持； 
2、涉及采购需求/分量评估/采购合同等相关流程环节的财务评审，分析产出，提示财务风险； 
3、梳理业务需求到外采商品的流转全链路，基于业财管理诉求，优化外采流程，还原各业务场景真实经营情况，推进商品各环节数据流转合理性及准确性，提升业财数据质量；
4、支持年度预算工作，评估预算合理性，拆解影响业务成本的动因，协助业务制定年度关键成本管控指标，共同推进降本等横向专题项目；
5、产出针对不同业财需求的财务分析报告，包括月度/季度滚动预实分析、资源效用分析等，给与业务决策支持并反映业务决策结果。","1、本科及以上学历，5年以上财务或者数据中心相关工作经验优先； 
2、能主动与业务建立链接，具有较强的跨部门沟通协调能力、学习能力、主动思考能力； 
3、具有较强的逻辑及数据分析及数据处理能力，善于总结并输出文档； 
4、有较强的抗压能力，工作有责任心，敬业精神，开放谦逊，务实敢为，有自驱力。"
[国际化广告服务商招募运营-广州],广州,运营 - 商业运营,A18661,"1、创意服务商招募引入：负责开发有达人、广告素材、短剧承制的潜力出海服务商，驱动合作伙伴在资源和人力上进行投入，提升服务生态良性循环；
2、服务商管理：负责搭建与维护服务商管理体系，并推进实施确保落地；负责服务商的全生命周期的管理，包括服务商的准入、定期评价及汰换；
3、管理考评：协助服务商拓客，建立和维护合作关系，针对性的对存量服务商给到定期复盘、培训和规划，确保执行落地的达成率；
4、能力赋能：深入合作伙伴的各方沟通，通过专项，培训，中高层谈判进行赋能，从而推动双方目标共同增长，实现共赢；
5、探索业务增量：独立负责部门级专项，基于创意类目×服务商运营等多维度分析及研究，洞察业务机会点和增量空间；
6、专项策划&策略制定，到协同业务推进落地，并进行结果追踪复盘，推进规划到结果的最终达成。","1、本科及以上学历，熟悉平台化运营体系，3年以上渠道运营工作经验；
2、具备数据分析能力，逻辑清晰，能够通过数据分析发现问题，并能推动解决；
3、有资源整合能力，对业务长期发展及规划有较强的判断力，具备创新精神，能将繁琐重复工作自动化；
4、善于跨部门沟通，性格开朗，执行力强，有一定抗压能力，有良好的团队合作精神；
5、具有从0到1的开拓精神，能够协调各方资源并熟练把控管理项目，愿意以结果为导向，与团队和业务共同成长；
6、英语听说读写水平优秀，可作为工作语言，有过海外达人运营、机构运营、短剧承制等经验优先。"
[Senior HRBP-电商产运],上海,职能 / 支持 - 人力,A122453,"1、支持电商运营相关业务团队，深入了解业务状况和团队运作状况，理解业务战略并促进人力资源战略在业务部门的有效实施；
2、负责业务部门的团队搭建，利用各种有效招聘途径满足招聘需求，根据现有团队情况，设计人员成长路径及人员培养方案，有效制定和实施人才发展计划并跟进实施；
3、能够洞察组织和团队存在的问题，并应用专业理论、方法、工具，为业务团队提供全方位解决方案， 包括招聘、培训、绩效、员工关系等人力资源工作，并推动方案落地；
4、协助完成组织及团队氛围建设，推动公司文化的建设和业务的高速发展。","1、本科以上学历，5年及以上人力资源工作经验；
2、有相关行业HRBP工作经验者优先；
3、了解人力资源各模块基本工作，并具备招聘、绩效等的实操经验；
4、熟悉国家相关的人力资源政策、法律法规；
5、自我驱动，思考力强，认真负责，有亲和力，能承担较大的工作压力，能适应公司快速发展的工作节奏。"
[Global Selling-招商培育（工具建材）],深圳,运营,A86122A,"1、负责跨境家装、工具、汽摩配、建材等行业招运工作，根据货品策略和行业趋势快速聚焦商家资源，制定优质供货商/商家的招商规划和策略，从优质商家和商品数两个维度高效完成寻源及招募任务； 
2、结合内容电商平台的特点及发展方向，提升商家对平台合作意愿，与商家进行合作洽谈与签约，负责跟进商家前期入驻的各项工作，确保入驻工作顺利完成； 
3、帮助新入驻的优质商家快速落地和发展，引导商家做好货品供给规划，与商家保持后期良好的沟通和合作，配合协同部门完成每月的企划上新任务； 
4、积极开展市场调查和商家分析工作，积极提供有效商业信息并拿到结果。","1、本科及以上学历，有3年以上相关类目招商或运营经验； 
2、成熟的BD经验，熟悉跨境家装、工具、汽摩配、建材等品类，有一定的商家和产业带资源； 
3、商务沟通和学习能力强，能通过数据对行业动向和项目管理有分析结果，及时调整招商和商家运营策略； 
4、结果导向，较强的自我驱动和责任心，具有良好的团队合作精神及优秀的组织协调沟通能力。"
